,a4dCmCh+,a4dCdEC6,b17dsdC,gA3dsdC,gA11dsdC,gB2dsdC,gB6dsdC,aC2dsdC,gC3dsdC,b17ec56,gA11ec56,gB6ec56,gC3ec56
a4dCmCh+,1.0,2.9817264513010144e-07,3.2182922993229113e-10,2.9320990080350384e-13,3.524958103184872e-13,2.353257860798763e-07,3.109860147176846e-10,9.30379107089152e-11,2.3314683517128287e-15,0.001633291842664697,5.933935699808934e-06,3.5990943558772415e-10,1.5590861934811073e-12
a4dCdEC6,2.9817264513010144e-07,1.0,0.9999999999479553,0.5664290311323417,0.9940652279387641,0.999992009222248,0.9999999999808437,0.8715656883588808,0.001077068151795979,0.7941263824331549,0.9999836212965542,0.9629261691631001,0.30900384681446225
b17dsdC,3.2182922993229113e-10,0.9999999999479553,1.0,0.5124907507173213,0.9964562549997488,0.9993144723553965,0.9999992139113322,0.8751045049984317,0.00014900240625226324,0.5106610516295627,0.9992035259846247,0.9704692328521081,0.2575462539666844
gA3dsdC,2.9320990080350384e-13,0.5664290311323417,0.5124907507173213,1.0,0.9701084547499985,0.1334477199048102,0.20402875756546424,0.9999999366654712,0.3994624576665051,0.005137301851201648,0.1819106009684046,0.9999505965500761,0.9999930582668234
gA11dsdC,3.524958103184872e-13,0.9940652279387641,0.9964562549997488,0.9701084547499985,1.0,0.7509994477982609,0.9068378781136918,0.9996385020097395,0.0030163643173848342,0.07193946510155225,0.797417210030858,0.9999985214030648,0.7812121079499497
gB2dsdC,2.353257860798763e-07,0.999992009222248,0.9993144723553965,0.1334477199048102,0.7509994477982609,1.0,0.9999990838980637,0.4276744251687632,1.641174601940687e-05,0.9657547079161917,0.9999999999999992,0.6407185818892918,0.05580544976972168
gB6dsdC,3.109860147176846e-10,0.9999999999808437,0.9999992139113322,0.20402875756546424,0.9068378781136918,0.9999990838980637,1.0,0.5974869280804284,8.493412073762308e-06,0.7372081328851685,0.9999973694918156,0.8121059580885515,0.0862032991084114
aC2dsdC,9.30379107089152e-11,0.8715656883588808,0.8751045049984317,0.9999999366654712,0.9996385020097395,0.4276744251687632,0.5974869280804284,1.0,0.28359773357280504,0.033412876381492596,0.4796590621244792,0.9999999974527675,0.9992812818068377
gC3dsdC,2.3314683517128287e-15,0.001077068151795979,0.00014900240625226324,0.3994624576665051,0.0030163643173848342,1.641174601940687e-05,8.493412073762308e-06,0.28359773357280504,1.0,3.9473293134140164e-07,8.182372271636762e-05,0.13956908818888536,0.9175078922554698
b17ec56,0.001633291842664697,0.7941263824331549,0.5106610516295627,0.005137301851201648,0.07193946510155225,0.9657547079161917,0.7372081328851685,0.033412876381492596,3.9473293134140164e-07,1.0,0.9874959707217514,0.07223258457283244,0.0021425706673928735
gA11ec56,5.933935699808934e-06,0.9999836212965542,0.9992035259846247,0.1819106009684046,0.797417210030858,0.9999999999999992,0.9999973694918156,0.4796590621244792,8.182372271636762e-05,0.9874959707217514,1.0,0.6799844691184629,0.07981983118709801
gB6ec56,3.5990943558772415e-10,0.9629261691631001,0.9704692328521081,0.9999505965500761,0.9999985214030648,0.6407185818892918,0.8121059580885515,0.9999999974527675,0.13956908818888536,0.07223258457283244,0.6799844691184629,1.0,0.9905119138702346
gC3ec56,1.5590861934811073e-12,0.30900384681446225,0.2575462539666844,0.9999930582668234,0.7812121079499497,0.05580544976972168,0.0862032991084114,0.9992812818068377,0.9175078922554698,0.0021425706673928735,0.07981983118709801,0.9905119138702346,1.0
