,a4dCmCh+,a4dCdEC6,b17dsdC,gA3dsdC,gA11dsdC,gB2dsdC,gB6dsdC,aC2dsdC,gC3dsdC,b17ec56,gA11ec56,gB6ec56,gC3ec56
a4dCmCh+,1.0,1.8688463156779633e-05,0.004910442693374262,0.00012197937953861704,0.0001028004646711489,0.0005875660410810113,0.024166091596629746,0.0025048565621457186,3.392952585556941e-12,0.9999347904428862,0.9826442606907214,9.283448995145438e-05,0.8105363958385172
a4dCdEC6,1.8688463156779633e-05,1.0,0.6623682324943849,0.9991503384447189,0.9283361793088281,0.9860182318758265,0.2624374833972559,0.9956830415252358,0.9734099162711354,0.010629943319499069,0.03797567583169248,0.9999999814355968,0.11185815436736779
b17dsdC,0.004910442693374262,0.6623682324943849,1.0,0.9893715822210456,0.9999611438653199,0.9996839949338755,0.9999743881708337,0.9995963922505893,0.005461396008487718,0.4624204315542164,0.790351754054802,0.8817341276825047,0.9672224133358177
gA3dsdC,0.00012197937953861704,0.9991503384447189,0.9893715822210456,1.0,0.9999858814612298,0.9999999705436389,0.7886716954882078,0.9999999996116373,0.3088831765362764,0.06482372690436178,0.1948245694094225,0.9999963120571577,0.4403139750381756
gA11dsdC,0.0001028004646711489,0.9283361793088281,0.9999611438653199,0.9999858814612298,1.0,0.9999999998757213,0.9662064125741747,0.999999996829511,0.02597264375128605,0.13370889251331008,0.36645997567741495,0.9926970113496306,0.6952893246036798
gB2dsdC,0.0005875660410810113,0.9860182318758265,0.9996839949338755,0.9999999705436389,0.9999999998757213,1.0,0.9499157184271588,0.999999999999999,0.13536585380166077,0.14415871780483547,0.36377197427600105,0.9994307761855732,0.6681319174245611
gB6dsdC,0.024166091596629746,0.2624374833972559,0.9999743881708337,0.7886716954882078,0.9662064125741747,0.9499157184271588,1.0,0.9583876252047054,0.00024423617240731943,0.7839828724089024,0.971342698085959,0.5041195102340036,0.999443730458287
aC2dsdC,0.0025048565621457186,0.9956830415252358,0.9995963922505893,0.9999999996116373,0.999999996829511,0.999999999999999,0.9583876252047054,1.0,0.28958733086814137,0.18478090601770714,0.4161175120837103,0.9998969749096643,0.7042521418372485
gC3dsdC,3.392952585556941e-12,0.9734099162711354,0.005461396008487718,0.3088831765362764,0.02597264375128605,0.13536585380166077,0.00024423617240731943,0.28958733086814137,1.0,8.553467865879405e-06,5.678123481456243e-05,0.8454912808998879,0.00033376598747192343
b17ec56,0.9999347904428862,0.010629943319499069,0.4624204315542164,0.06482372690436178,0.13370889251331008,0.14415871780483547,0.7839828724089024,0.18478090601770714,8.553467865879405e-06,1.0,0.9999996811301969,0.029102105899338815,0.999521184934456
gA11ec56,0.9826442606907214,0.03797567583169248,0.790351754054802,0.1948245694094225,0.36645997567741495,0.36377197427600105,0.971342698085959,0.4161175120837103,5.678123481456243e-05,0.9999996811301969,1.0,0.09263711161428989,0.9999997989140298
gB6ec56,9.283448995145438e-05,0.9999999814355968,0.8817341276825047,0.9999963120571577,0.9926970113496306,0.9994307761855732,0.5041195102340036,0.9998969749096643,0.8454912808998879,0.029102105899338815,0.09263711161428989,1.0,0.2362513109495714
gC3ec56,0.8105363958385172,0.11185815436736779,0.9672224133358177,0.4403139750381756,0.6952893246036798,0.6681319174245611,0.999443730458287,0.7042521418372485,0.00033376598747192343,0.999521184934456,0.9999997989140298,0.2362513109495714,1.0
