,a4dCmCh+,a4dCdEC6,b17dsdC,gA3dsdC,gA11dsdC,gB2dsdC,gB6dsdC,aC2dsdC,gC3dsdC,b17ec56,gA11ec56,gB6ec56,gC3ec56
a4dCmCh+,1.0,2.4142287402550977e-07,2.565586886793536e-05,1.8856208849893363e-07,4.926029379959118e-07,7.628904319378904e-08,4.453468157550322e-05,2.9697971156816827e-05,1.6775469902086115e-13,0.9975084132329229,0.5105942344576413,8.108757546976264e-06,0.1877105677758638
a4dCdEC6,2.4142287402550977e-07,1.0,0.701442465621592,0.9999915269749229,0.9094157270197261,0.9999998600239609,0.4023996475134952,0.9977792288814293,0.999558571760417,0.0012380219046959073,0.02605576503187257,0.9999072937832809,0.08501249954942025
b17dsdC,2.565586886793536e-05,0.701442465621592,1.0,0.9396074921468163,0.9999967327356962,0.8652110117293066,0.9999997071036707,0.9994510941332444,0.03808369663847855,0.09377370343947022,0.6573853501363514,0.9909426944795525,0.9209727394664765
gA3dsdC,1.8856208849893363e-07,0.9999915269749229,0.9396074921468163,1.0,0.9964296876811293,0.9999999999787761,0.7169243672059229,0.9999988747555107,0.8894669604285682,0.0030184931626692224,0.06493991131075949,0.999999999974031,0.19692186559161495
gA11dsdC,4.926029379959118e-07,0.9094157270197261,0.9999967327356962,0.9964296876811293,1.0,0.9829516126724669,0.997470876897976,0.9999996776671192,0.10732249579626385,0.020579276293833826,0.3087093293803892,0.9998714009016876,0.6451951816257366
gB2dsdC,7.628904319378904e-08,0.9999998600239609,0.8652110117293066,0.9999999999787761,0.9829516126724669,1.0,0.5725165578405964,0.9999649509611532,0.9568604496394747,0.0016751291934867796,0.040411062017265964,0.9999999472212564,0.13310794219095956
gB6dsdC,4.453468157550322e-05,0.4023996475134952,0.9999997071036707,0.7169243672059229,0.997470876897976,0.5725165578405964,1.0,0.9828496223768253,0.005403059220887907,0.17434698893843759,0.8421805171488613,0.9136838560125348,0.9854733072682753
aC2dsdC,2.9697971156816827e-05,0.9977792288814293,0.9994510941332444,0.9999988747555107,0.9999996776671192,0.9999649509611532,0.9828496223768253,1.0,0.6701230856968756,0.028813336831574388,0.29077667185943024,0.9999999986270821,0.5747116616376131
gC3dsdC,1.6775469902086115e-13,0.999558571760417,0.03808369663847855,0.8894669604285682,0.10732249579626385,0.9568604496394747,0.005403059220887907,0.6701230856968756,1.0,2.851818995730504e-06,0.00018714970768085593,0.8607892252927783,0.001146563570916359
b17ec56,0.9975084132329229,0.0012380219046959073,0.09377370343947022,0.0030184931626692224,0.020579276293833826,0.0016751291934867796,0.17434698893843759,0.028813336831574388,2.851818995730504e-06,1.0,0.9984164848821228,0.012933084703318998,0.9614052119466853
gA11ec56,0.5105942344576413,0.02605576503187257,0.6573853501363514,0.06493991131075949,0.3087093293803892,0.040411062017265964,0.8421805171488613,0.29077667185943024,0.00018714970768085593,0.9984164848821228,1.0,0.16721762299831122,0.999999644975867
gB6ec56,8.108757546976264e-06,0.9999072937832809,0.9909426944795525,0.999999999974031,0.9998714009016876,0.9999999472212564,0.9136838560125348,0.9999999986270821,0.8607892252927783,0.012933084703318998,0.16721762299831122,1.0,0.3890823371427016
gC3ec56,0.1877105677758638,0.08501249954942025,0.9209727394664765,0.19692186559161495,0.6451951816257366,0.13310794219095956,0.9854733072682753,0.5747116616376131,0.001146563570916359,0.9614052119466853,0.999999644975867,0.3890823371427016,1.0
