,b17dsdC,b17ec56,b17FL+,gA3dsdC,gA3dC+,gA11dsdC,gA11ec56,gA11dC+,gB2dsdC,gB2dC+,gB6dsdC,gB6ec56,gB6dC+,aC2dsdC,aC2FL+,gC3dsdC,gC3ec56,gC3FL+
b17dsdC,1.0,0.7554340956568633,0.0,0.7570362291929928,2.0934032285424564e-11,0.9998852583644049,0.9999872136951892,0.0,0.9999897305185735,0.0,0.9999999994060352,0.9972504169520605,2.220446049250313e-16,0.9743086942519058,9.14221206944621e-05,0.0004330759183427402,0.47561370762527844,0.0
b17ec56,0.7554340956568633,1.0,0.0,0.014924203399842906,2.4158453015843406e-13,0.16934534953043368,0.9992496482080434,0.0,0.9965537324950955,0.0,0.9147017419791974,0.1699397352305423,0.0,0.08603503261665257,0.4215464076047585,7.543061379955418e-07,0.006368704437966444,0.0
b17FL+,0.0,0.0,1.0,0.0,2.3419108967637214e-06,0.0,0.0,0.025711275646692622,0.0,0.9995587434988326,0.0,0.0,0.00022516963643848253,0.0,0.0,0.0,2.220446049250313e-16,0.9816661700217827
gA3dsdC,0.7570362291929928,0.014924203399842906,0.0,1.0,1.4760826453352749e-06,0.9971991037267365,0.3647172978403206,9.992007221626409e-16,0.2845856141444981,1.3322676295501878e-15,0.39878378489151833,0.9999997738985698,6.469313973411772e-11,0.9999999999836594,4.6932552288936336e-08,0.647480488641237,0.9999999865665452,0.0
gA3dC+,2.0934032285424564e-11,2.4158453015843406e-13,2.3419108967637214e-06,1.4760826453352749e-06,1.0,3.120638192299907e-10,6.574063515785156e-11,0.061878971071888444,4.311440093829333e-12,0.0012821650452944366,6.515898931525044e-13,6.593851327174605e-07,0.9672367977825033,2.3484152555930393e-06,0.0,0.0007000899265698912,0.00010361074859199793,1.0808276496021563e-10
gA11dsdC,0.9998852583644049,0.16934534953043368,0.0,0.9971991037267365,3.120638192299907e-10,1.0,0.9442470594458215,0.0,0.9219398934979857,0.0,0.9838133093325003,0.9999999985342957,9.992007221626409e-16,0.999995959930216,7.137398099210657e-07,0.008904448041147095,0.9368209562214588,0.0
gA11ec56,0.9999872136951892,0.9992496482080434,0.0,0.3647172978403206,6.574063515785156e-11,0.9442470594458215,1.0,0.0,1.0,0.0,0.9999999966571306,0.8816987379519466,3.6637359812630166e-15,0.7274556787961854,0.019592039852067034,0.00023285426518848684,0.18515205474320362,0.0
gA11dC+,0.0,0.0,0.025711275646692622,9.992007221626409e-16,0.061878971071888444,0.0,0.0,1.0,0.0,0.7988135740335165,0.0,4.9960036108132044e-15,0.8773006497405026,2.2426505097428162e-14,0.0,2.55351295663786e-14,2.520317288201568e-12,4.2148080969806045e-07
gB2dsdC,0.9999897305185735,0.9965537324950955,0.0,0.2845856141444981,4.311440093829333e-12,0.9219398934979857,1.0,0.0,1.0,0.0,0.9999999992607983,0.8562741649622073,1.1102230246251565e-16,0.676905954667772,0.0053012200232679385,4.3038534979444876e-05,0.13579595087470964,0.0
gB2dC+,0.0,0.0,0.9995587434988326,1.3322676295501878e-15,0.0012821650452944366,0.0,0.0,0.7988135740335165,0.0,1.0,0.0,2.7755575615628914e-15,0.06582910436166522,9.658940314238862e-15,0.0,7.327471962526033e-14,5.617728504603292e-13,0.43790993889047614
