,b17dsdC,b17ec56,b17FL+,gA3dsdC,gA3dC+,gA11dsdC,gA11ec56,gA11dC+,gB2dsdC,gB2dC+,gB6dsdC,gB6ec56,gB6dC+,aC2dsdC,aC2FL+,gC3dsdC,gC3ec56,gC3FL+
b17dsdC,1.0,0.9999999999964808,2.7414682879367547e-07,1.0,0.817684291716384,1.0,0.9999999999999294,0.11613205621663147,1.0,0.011456031623125362,1.0,0.9999999999999875,0.999731657086433,1.0,0.999999999999973,0.9999999629363697,0.9999999999999994,3.5693670241698783e-13
b17ec56,0.9999999999964808,1.0,4.097178019302206e-06,0.9999999990603534,0.7795675484243788,0.999999999797448,1.0,0.17853623295328613,0.9999999998310518,0.02020349707649971,0.9999999999999221,0.9999999962414446,0.9980299108296864,0.9999999999106954,1.0,0.9999901044452442,1.0,2.0315549242866382e-10
b17FL+,2.7414682879367547e-07,4.097178019302206e-06,1.0,3.5579072580338433e-06,0.007530818260866656,1.0020988616687987e-07,5.545955777175315e-06,0.0029818990782518595,2.812812961883182e-06,0.7899923760776808,4.212339799192222e-08,4.692359239577559e-05,8.513796778464311e-06,2.8643859436572328e-05,5.523652391037359e-07,2.997361574497148e-07,7.408723882718071e-06,0.8551431271613583
gA3dsdC,1.0,0.9999999990603534,3.5579072580338433e-06,1.0,0.932600160781386,1.0,0.9999999999227249,0.303461863968566,1.0,0.03623328872629372,0.9999999999999275,1.0,0.9999921496867464,1.0,0.9999999999341673,0.9999999999815744,0.999999999995562,3.285538507924457e-11
gA3dC+,0.817684291716384,0.7795675484243788,0.007530818260866656,0.932600160781386,1.0,0.8223462448203664,0.8181346977999293,0.9999996330487672,0.9161632467553931,0.9002397139540204,0.7141498937148774,0.977479529776858,0.9994756692637305,0.9580448865893576,0.7396267267433567,0.9655240225923166,0.8516325342903582,7.690573109453425e-07
gA11dsdC,1.0,0.999999999797448,1.0020988616687987e-07,1.0,0.8223462448203664,1.0,0.9999999999902787,0.09327463889942533,1.0,0.009100016200806582,0.9999999999999994,1.0,0.9998518029276042,1.0,0.9999999999925777,0.9999999955094343,0.9999999999997353,3.019806626980426e-14
gA11ec56,0.9999999999999294,1.0,5.545955777175315e-06,0.9999999999227249,0.8181346977999293,0.9999999999902787,1.0,0.2116341748095918,0.999999999989991,0.02480520940580966,0.9999999999999997,0.99999999953999,0.9990225259590285,0.9999999999942735,1.0,0.9999973623027539,1.0,2.9117119826338467e-10
gA11dC+,0.11613205621663147,0.17853623295328613,0.0029818990782518595,0.303461863968566,0.9999996330487672,0.09327463889942533,0.2116341748095918,1.0,0.26979922597581285,0.9783832920428098,0.05139143925041634,0.5566832972136407,0.7370660012338203,0.4631880715967047,0.10543343028927399,0.2481681241684608,0.2472945364612451,1.100405988552211e-09
gB2dsdC,1.0,0.9999999998310518,2.812812961883182e-06,1.0,0.9161632467553931,1.0,0.999999999989991,0.26979922597581285,1.0,0.031185549973385518,0.9999999999999987,1.0,0.9999803240649736,1.0,0.9999999999930247,0.9999999998033067,0.9999999999996306,2.4705237855471296e-11
gB2dC+,0.011456031623125362,0.02020349707649971,0.7899923760776808,0.03623328872629372,0.9002397139540204,0.009100016200806582,0.02480520940580966,0.9783832920428098,0.031185549973385518,1.0,0.00501861967300643,0.09583104291479183,0.13331291932940248,0.0712921048561399,0.010505672043332637,0.0262995394859874,0.03009853765091608,0.008901994160297577
gB6dsdC,1.0,0.9999999999999221,4.212339799192222e-08,0.9999999999999275,0.7141498937148774,0.9999999999999994,0.9999999999999997,0.05139143925041634,0.9999999999999987,0.00501861967300643,1.0,0.9999999999977284,0.9986369698394804,0.9999999999999991,1.0,0.9999991740307532,1.0,1.0658141036401503e-14
gB6ec56,0.9999999999999875,0.9999999962414446,4.692359239577559e-05,1.0,0.977479529776858,1.0,0.99999999953999,0.5566832972136407,1.0,0.09583104291479183,0.9999999999977284,1.0,0.9999996404578109,1.0,0.9999999995795948,0.9999999999999729,0.9999999999557715,3.855537333841141e-09
gB6dC+,0.999731657086433,0.9980299108296864,8.513796778464311e-06,0.9999921496867464,0.9994756692637305,0.9998518029276042,0.9990225259590285,0.7370660012338203,0.9999803240649736,0.13331291932940248,0.9986369698394804,0.9999996404578109,1.0,0.9999958047920414,0.997973165022528,0.99999998404868,0.9995344920493068,7.382872091454828e-12
aC2dsdC,1.0,0.9999999999106954,2.8643859436572328e-05,1.0,0.9580448865893576,1.0,0.9999999999942735,0.4631880715967047,1.0,0.0712921048561399,0.9999999999999991,1.0,0.9999958047920414,1.0,0.9999999999964458,0.9999999999769651,0.9999999999997636,2.1060811983275585e-09
aC2FL+,0.999999999999973,1.0,5.523652391037359e-07,0.9999999999341673,0.7396267267433567,0.9999999999925777,1.0,0.10543343028927399,0.9999999999930247,0.010505672043332637,1.0,0.9999999995795948,0.997973165022528,0.9999999999964458,1.0,0.9999946887643623,1.0,3.51163542688937e-12
gC3dsdC,0.9999999629363697,0.9999901044452442,2.997361574497148e-07,0.9999999999815744,0.9655240225923166,0.9999999955094343,0.9999973623027539,0.2481681241684608,0.9999999998033067,0.0262995394859874,0.9999991740307532,0.9999999999999729,0.99999998404868,0.9999999999769651,0.9999946887643623,1.0,0.999999368413527,3.808064974464287e-14
gC3ec56,0.9999999999999994,1.0,7.408723882718071e-06,0.999999999995562,0.8516325342903582,0.9999999999997353,1.0,0.2472945364612451,0.9999999999996306,0.03009853765091608,1.0,0.9999999999557715,0.9995344920493068,0.9999999999997636,1.0,0.999999368413527,1.0,4.113888119050557e-10
gC3FL+,3.5693670241698783e-13,2.0315549242866382e-10,0.8551431271613583,3.285538507924457e-11,7.690573109453425e-07,3.019806626980426e-14,2.9117119826338467e-10,1.100405988552211e-09,2.4705237855471296e-11,0.008901994160297577,1.0658141036401503e-14,3.855537333841141e-09,7.382872091454828e-12,2.1060811983275585e-09,3.51163542688937e-12,3.808064974464287e-14,4.113888119050557e-10,1.0
