,b17dsdC,b17ec56,b17FL+,gA3dsdC,gA3dC+,gA11dsdC,gA11ec56,gA11dC+,gB2dsdC,gB2dC+,gB6dsdC,gB6ec56,gB6dC+,aC2dsdC,aC2FL+,gC3dsdC,gC3ec56,gC3FL+
b17dsdC,1.0,0.265299739761492,1.176836406102666e-14,0.9944226612881711,0.00019227408059674378,0.999999997449302,0.8976341000860116,4.162111628458476e-06,0.9793990214687404,0.0005519959861916002,0.9999999999198225,0.9997095591349344,0.26331193554302323,0.9999956246351459,0.03176138737673451,0.13032247388903107,0.9914048697142489,3.9257486150745535e-13
b17ec56,0.265299739761492,1.0,0.0,0.014424891499156822,2.18279639918606e-08,0.07810805497774376,0.9999789728135441,2.6843771649964765e-10,0.00840995479499207,6.303103505800323e-08,0.41681878016343754,0.052500847053913,5.95165313991286e-05,0.1035703691580615,0.9999999960726544,1.6100657432960297e-05,0.9972603222214768,4.440892098500626e-16
b17FL+,1.176836406102666e-14,0.0,1.0,1.370217272977925e-10,0.0024473988434109417,1.199040866595169e-14,1.7763568394002505e-15,1.1372752980132184e-05,3.28952864947496e-10,0.0008664247324572383,2.220446049250313e-16,1.5642667161586132e-09,9.680333201700364e-10,4.21872869971196e-10,0.0,6.906859528754694e-10,1.3100631690576847e-14,0.3258735299004284
gA3dsdC,0.9944226612881711,0.014424891499156822,1.370217272977925e-10,1.0,0.04671028335406624,0.9999290334244693,0.19983993009841394,0.010252067035378287,0.9999999999999999,0.09463212259540399,0.9270756141946073,0.9999999999999999,0.9977081779752212,0.999999999448461,0.0006763979651175367,0.985152901780002,0.45327463975950233,2.395237053143262e-08
gA3dC+,0.00019227408059674378,2.18279639918606e-08,0.0024473988434109417,0.04671028335406624,1.0,0.0005293350177677514,1.435240505220925e-06,0.9999999999999978,0.07646966849391579,0.9999999999999436,1.8511764821815824e-05,0.059644869522688215,0.4064971416434905,0.027156410063170155,1.338952282381456e-10,0.49191385261797793,9.118849374156746e-06,0.3352752450085378
gA11dsdC,0.999999997449302,0.07810805497774376,1.199040866595169e-14,0.9999290334244693,0.0005293350177677514,1.0,0.6066280218481581,1.0078637090793485e-05,0.9992336279153722,0.0015258387865354495,0.9999576938977918,0.9999994795508147,0.5057630247809124,0.9999999999080469,0.0043531401218718235,0.2936156680010048,0.8909816791571099,3.1030733538273125e-13
gA11ec56,0.8976341000860116,0.9999789728135441,1.7763568394002505e-15,0.19983993009841394,1.435240505220925e-06,0.6066280218481581,1.0,3.831397488163191e-08,0.13677646149236622,3.989121214909019e-06,0.9731993319209079,0.4048378321373949,0.003068036106028904,0.5846485753870063,0.9899390512832383,0.0010570013294876057,0.9999999998944116,6.572520305780927e-14
gA11dC+,4.162111628458476e-06,2.6843771649964765e-10,1.1372752980132184e-05,0.010252067035378287,0.9999999999999978,1.0078637090793485e-05,3.831397488163191e-08,1.0,0.02028428015547301,1.0,1.0939078332050656e-07,0.019822765435472678,0.1767598477978064,0.007139052833293857,2.0972112935169207e-13,0.2246808898937227,3.5314980584288946e-07,0.008926698279190903
gB2dsdC,0.9793990214687404,0.00840995479499207,3.28952864947496e-10,0.9999999999999999,0.07646966849391579,0.9992336279153722,0.13677646149236622,0.02028428015547301,1.0,0.14707649526232547,0.8466955106621761,0.9999999999930739,0.9997004978210516,0.9999999215052258,0.0003429944390220818,0.9967338335149283,0.34402147251816106,6.437188837526975e-08
gB2dC+,0.0005519959861916002,6.303103505800323e-08,0.0008664247324572383,0.09463212259540399,0.9999999999999436,0.0015258387865354495,3.989121214909019e-06,1.0,0.14707649526232547,1.0,5.904581663351838e-05,0.11237383633367104,0.6087001266151458,0.05474056707567232,4.2857029036724725e-10,0.7014684015380915,2.4660351736094377e-05,0.17153031014585862
gB6dsdC,0.9999999999198225,0.41681878016343754,2.220446049250313e-16,0.9270756141946073,1.8511764821815824e-05,0.9999576938977918,0.9731993319209079,1.0939078332050656e-07,0.8466955106621761,5.904581663351838e-05,1.0,0.9900843474190563,0.0690021287953233,0.9992265377472858,0.06149188835180841,0.024374639542949827,0.9994011771331944,2.220446049250313e-15
gB6ec56,0.9997095591349344,0.052500847053913,1.5642667161586132e-09,0.9999999999999999,0.059644869522688215,0.9999994795508147,0.4048378321373949,0.019822765435472678,0.9999999999930739,0.11237383633367104,0.9900843474190563,1.0,0.9952944386759554,0.9999999999999617,0.004814208545276588,0.9782639717221342,0.6950496890286979,3.179329316482793e-07
gB6dC+,0.26331193554302323,5.95165313991286e-05,9.680333201700364e-10,0.9977081779752212,0.4064971416434905,0.5057630247809124,0.003068036106028904,0.1767598477978064,0.9997004978210516,0.6087001266151458,0.0690021287953233,0.9952944386759554,1.0,0.9666401418723072,5.205168893684942e-07,0.9999999999999933,0.015051621691919426,2.2485451511844445e-07
aC2dsdC,0.9999956246351459,0.1035703691580615,4.21872869971196e-10,0.999999999448461,0.027156410063170155,0.9999999999080469,0.5846485753870063,0.007139052833293857,0.9999999215052258,0.05474056707567232,0.9992265377472858,0.9999999999999617,0.9666401418723072,1.0,0.011941008548250087,0.9043553820951367,0.848152811885844,7.599922891010635e-08
aC2FL+,0.03176138737673451,0.9999999960726544,0.0,0.0006763979651175367,1.338952282381456e-10,0.0043531401218718235,0.9899390512832383,2.0972112935169207e-13,0.0003429944390220818,4.2857029036724725e-10,0.06149188835180841,0.004814208545276588,5.205168893684942e-07,0.011941008548250087,1.0,9.07129400484763e-08,0.8968786526559217,0.0
gC3dsdC,0.13032247388903107,1.6100657432960297e-05,6.906859528754694e-10,0.985152901780002,0.49191385261797793,0.2936156680010048,0.0010570013294876057,0.2246808898937227,0.9967338335149283,0.7014684015380915,0.024374639542949827,0.9782639717221342,0.9999999999999933,0.9043553820951367,9.07129400484763e-08,1.0,0.005916393995212488,1.4566743877786337e-07
gC3ec56,0.9914048697142489,0.9972603222214768,1.3100631690576847e-14,0.45327463975950233,9.118849374156746e-06,0.8909816791571099,0.9999999998944116,3.5314980584288946e-07,0.34402147251816106,2.4660351736094377e-05,0.9994011771331944,0.6950496890286979,0.015051621691919426,0.848152811885844,0.8968786526559217,0.005916393995212488,1.0,6.850076061937216e-13
gC3FL+,3.9257486150745535e-13,4.440892098500626e-16,0.3258735299004284,2.395237053143262e-08,0.3352752450085378,3.1030733538273125e-13,6.572520305780927e-14,0.008926698279190903,6.437188837526975e-08,0.17153031014585862,2.220446049250313e-15,3.179329316482793e-07,2.2485451511844445e-07,7.599922891010635e-08,0.0,1.4566743877786337e-07,6.850076061937216e-13,1.0
