E,S,FITC
230916,10xdC+,0.029550791439311525
230916,12xdC+,0.024269454046489003
230916,5xdC+,0.020034225219794203
230916,a4+gC3FL-,0.08191678970690058
230916,a4dCmCh+,0.03130595446401702
230916,aC2FL+,0.0411764111641676
230916,aC2dsdC,0.08259828551795273
230916,b17FL+,0.7222948648044718
230916,b17dsdC,0.06345412457986438
230916,gA11dsdC,0.0770357977709147
230916,gA3dsdC,0.0812585118647444
230916,gB6dC+,0.15384287431565902
230916,gB6dsdC,0.0566054325931371
230916,gC3FL+,0.9011942824409955
230916,gC3FL-,0.025019748619105494
230920,10xdC+,0.02981796107620021
230920,12xdC+,0.0316614689032704
230920,5xdC+,0.028072985219320674
230920,a4dCmCh+,0.04527838304542095
230920,aC2FL+,0.0577418804477452
230920,aC2dsdC,0.08591302262214648
230920,b17FL+,1.1959581735312514
230920,b17dsdC,0.06590190009566647
230920,gA11dsdC,0.07449203165134369
230920,gA3dsdC,0.07946052224164271
230920,gB6dC+,0.2541933845782264
230920,gB6dsdC,0.06621399724227517
230920,gC3FL+,1.0852220802275914
230920,gC3FL-,0.034872197904000465
230920,gC3dsFL,0.09381404412549954
230927,10xdC+,0.05074739084176856
230927,12xdC+,0.0506455539555391
230927,5xdC+,0.033295028171878606
230927,a4dCmCh+,0.0459157600397319
230927,aC2FL+,0.0904559295747147
230927,aC2dsdC,0.14969130457598442
230927,b17FL+,1.5038133307435966
230927,b17dsdC,0.11247108740506483
230927,gA11dsdC,0.11230438679238271
230927,gA3dsdC,0.1304265147936845
230927,gB6dC+,0.3664930426016412
230927,gB6dsdC,0.1111692882816146
230927,gC3FL+,1.2103137489907405
230927,gC3FL-,0.0467368979455412
230927,gC3dsFL,0.12882481863697273
230929,a4+gA11dC-,0.04117034169074443
230929,a4+gC3FL-,0.054049568774375244
230929,a4dCmCh+,0.016066836849373826
230929,gA11dC+,0.6262482529419688
230929,gA11dC-,0.012597492305989878
230929,gA11dsdC,0.10746312166533153
230929,gA1dsdC,0.043066414999168696
230929,gA3dC+,0.39492738217342693
230929,gA3dsdC,0.15201016611948193
230929,gB2dC+,0.5488040856171087
230929,gB2dsdC,0.1046833800128392
230929,gB6FL+,0.12265772934906011
230929,gC3FL+,1.596912839269488
230929,gC3FL-,0.009808318877249634
230929,gC3dsFL,0.1039992725223524
231011,a4-gC3rdsFL,0.29457617193955277
231011,a4-gC3rdsdC,0.04529218718737385
231011,a4dCdEC6,0.09591899925365434
231011,a4dCmCh+,0.030232164929199334
231011,aC2dC+,0.05647674610461809
231011,gA11dC+,0.43232383757371273
231011,gA1dsdC,0.09679147634467995
231011,gA3dC+,0.2922623920994689
231011,gB2dC+,0.6099920307626118
231011,gB2dsdC,0.08075118592613063
231011,gB6FL+,0.30104165649580544
231011,gC3FL+,0.7606625291736552
231011,gC3FL-,0.025111703926785245
231011,gC3dC+,0.6774469344406491
231011,gC3dsdC,0.14388778241345473
231013,a4-gC3rdsFL,0.7365872212531995
231013,a4-gC3rdsdC,0.08065919358115597
231013,a4dCdEC6,0.17720050837565934
231013,a4dCmCh+,0.0763571631316265
231013,aC2dC+,0.07167834004836818
231013,gA11dC+,0.5402571432319537
231013,gA1dsdC,0.15513254211837363
231013,gA3dC+,0.4218417518195508
231013,gB2dC+,0.7254670431692036
231013,gB2dsdC,0.13462458505513422
231013,gB6FL+,0.31353562199228424
231013,gC3FL+,1.596004827126541
231013,gC3FL-,0.044095605304495834
231013,gC3dC+,0.9909344494174074
231013,gC3dsdC,0.19872025907450222
231014,a4-gC3rdsFL,0.4512615130115111
231014,a4-gC3rdsdC,0.06374325651485485
231014,a4dCdEC6,0.11155410839972532
231014,a4dCmCh+,0.048351662656619006
231014,aC2FL+,0.055292291129248314
231014,aC2dC+,0.057695285708602446
231014,gA1dsdC,0.1014065161006604
231014,gA3dC+,0.23629764961121089
231014,gB2dC+,0.41005308103437993
231014,gB2dsdC,0.09781290635483288
231014,gC3FL+,0.8954717880694055
231014,gC3FL-,0.043705491321669905
231014,gC3dC+,0.8387404363098029
231014,gC3dsFL,0.08549077552832564
231014,gC3dsdC,0.18042995606629808
231117,10x+gA11dC-,0.08356420355728647
231117,10xdC+,0.04972280389898305
231117,12x+gA11dC-,0.07836954734437694
231117,12xdC+,0.04206633029074326
231117,5x+gA11dC-,0.05363817452911645
231117,5xdC+,0.05736975756715458
231117,a4+10x,0.062459742475072515
231117,a4+12x,0.05122425780920545
231117,a4+5x,0.039447080542391294
231117,a4+gA11dC-,0.1016422653176243
231117,a4+gC3FL-,0.08778253991964811
231117,a4dCmCh+,0.03626500655135721
231117,gA11dC+,0.3417573220259949
231117,gA11dC-,0.03082204040641609
231117,gC3FL+,0.9641706768202003
231215,10x+gA11dC-,0.07049786823314812
231215,10xdC+,0.03575309821399723
231215,12x+gA11dC-,0.06296507814022803
231215,12xdC+,0.06059725136094122
231215,5x+gA11dC-,0.06254315717409059
231215,5xdC+,0.049482517876520665
231215,a4+10x,0.056825632760957846
231215,a4+12x,0.06804935671473017
231215,a4+5x,0.04792705952525018
231215,a4+gA11dC-,0.07926813094877679
231215,a4dCmCh+,0.043467134043674076
231215,gA11dC+,0.43261301922647416
231215,gA11dC-,0.02600856628230842
231215,gC3FL+,0.8786863946756198
231215,gC3FL+unstained,0.02976902368043571
231220,10x+gA11dC-,0.08642421196127521
231220,10xdC+,0.04342925180220464
231220,12x+gA11dC-,0.07041076431714967
231220,12xdC+,0.036693729983453285
231220,5x+gA11dC-,0.054363906058718554
231220,5xdC+,0.042132238939733405
231220,a4+10x,0.06290758193780864
231220,a4+12x,0.05075792631020757
231220,a4+5x,0.04564056334795457
231220,a4+gA11dC-,0.10089360880381915
231220,a4dCmCh+,0.04094206592902473
231220,gA11dC+,0.41663669378372986
231220,gA11dC-,0.02450639045703125
231220,gC3FL+,0.9674636078171265
231220,gC3FL-unstained,0.027745388414515838
240111,14xdC+,0.025415949891806865
240111,a4dCmCh+,0.031047672157612425
240111,b17FL+,0.3695076913090926
240111,b17ec56,0.0464839403726669
240111,gA11dC+,0.2950769726342507
240111,gA11ec56,0.05582952810190151
240111,gB6dC+,0.160038480885303
240111,gB6dsdC,0.07618334167960092
240111,gB6ec56,0.11848586806943126
240111,gC3FL+,0.6273445963458498
240111,gC3FL-,0.02049742305058055
240111,gC3FL-unstained,0.018477987852114162
240111,gC3ec56*,0.04924340485228281
240112,14xdC+,0.03372137336401508
240112,a4dCmCh+,0.029159774931133843
240112,b17FL+,0.6529155014651381
240112,b17dsdC,0.11191272485427813
240112,b17ec56,0.06077491632809256
240112,gA11dC+,0.45630945252347915
240112,gA11dsdC,0.14131267035162226
240112,gA11ec56,0.0661425551411121
240112,gB6dC+,0.18795392336178637
240112,gB6dsdC,0.10256039127129164
240112,gB6ec56,0.13104851771918066
240112,gC3FL+,0.9602801250058007
240112,gC3FL-,0.022378989345268996
240112,gC3dsdC,0.1812703514840551
240112,gC3ec56*,0.08047379640868282
240113,14xdC+,0.019784132210842333
240113,22xdC+,0.022134560279721303
240113,a4dCmCh+,0.02760750397863275
240113,b17FL+,0.4487585549630751
240113,b17dsdC,0.09926300835937214
240113,b17ec56,0.0358191780405074
240113,gA11dsdC,0.09245542647871494
240113,gA11ec56,0.04802084486491624
240113,gB6dC+,0.11555784707580775
240113,gB6dsdC,0.0717441069677517
240113,gB6ec56,0.11409419454023771
240113,gC3FL+,0.8136457566305308
240113,gC3FL-,0.013229586413946415
240113,gC3dsdC,0.134598553290985
240113,gC3ec56,0.06792384763507922
240131,14x+gA11dC-,0.02849171710046025
240131,14xdC+,0.02191260595459739
240131,22x+gA11dC-,0.019588181082195517
240131,22xdC+,0.01946380185975665
240131,a4+14x,0.032030831879526385
240131,a4+22x,0.03306058410557819
240131,a4+gA11dC-,0.052054298310949536
240131,a4dCmCh+,0.02055944464228774
240131,gA11dC+,0.24513861753722893
240131,gA11dC-,0.01796870977414898
240131,gC3FL+,0.664721386435155
240131,gC3FL-,0.013832292964080197
240131,gC3FL-unstained,0.013765028807635315
240131,gC3dsdC,0.10249469306463811
240131,gC3ec56,0.06068541492598303
240201,14x+gA11dC-,0.029895552064588316
240201,14xdC+,0.034155966007114534
240201,22x+gA11dC-,0.022126497811155495
240201,22xdC+,0.024861652928862013
240201,a4+14x,0.03329803592400464
240201,a4+22x,0.03454730546819321
240201,a4+gA11dC-,0.06979012813797673
240201,a4dCmCh+,0.024367896370462133
240201,gA11dC+,0.29021983541035545
240201,gA11dC-,0.014691608517232505
240201,gC3FL+,0.8733009613395123
240201,gC3FL-,0.01488421386377961
240201,gC3FL-unstained,0.012400293224663822
240201,gC3dsdC,0.11907647449265968
240201,gC3ec56,0.06723766895606638
