S,FITC
10x+gA11dC-,0.0804956929987178
10xdC+,0.03741329027630644
12x+gA11dC-,0.0721309915158889
12xdC+,0.04093431515149901
14x+gA11dC-,0.029375776458401018
14xdC+,0.02594854855301747
22x+gA11dC-,0.021022679343699505
22xdC+,0.022900358112092463
5x+gA11dC-,0.05730909232846198
5xdC+,0.036496608475589734
a4+10x,0.060288681334218004
a4+12x,0.05527075902198678
a4+14x,0.03276642514823604
a4+22x,0.033703420072342886
a4+5x,0.04550604653262375
a4+gA11dC-,0.07720311117026481
a4+gC3FL-,0.07409152347500322
a4-gC3rdsFL,0.49403511127960426
a4-gC3rdsdC,0.06540003509150713
a4dCdEC6,0.13085831466808537
a4dCmCh+,0.03667573781298766
aC2FL+,0.06015160506709662
aC2dC+,0.06165455842271992
aC2dsdC,0.1053442450966973
b17FL+,0.8576206156417597
b17dsdC,0.09383942495469295
b17ec56,0.04571516164789111
gA11dC+,0.4015676454162552
gA11dC-,0.021504028298112054
gA11dsdC,0.10041418448675814
gA11ec56,0.054145128153185076
gA1dsdC,0.10451123628782305
gA3dC+,0.34320793183715004
gA3dsdC,0.1142735265526659
gB2dC+,0.5855871711742763
gB2dsdC,0.10932543328216522
gB6FL+,0.23843123296776575
gB6dC+,0.20691759027403125
gB6dsdC,0.0810139292564033
gB6ec56,0.1196158677094801
gC3FL+,1.0
gC3FL+unstained,0.02976902368043571
gC3FL-,0.026808740570239898
gC3FL-unstained,0.018538066193766616
gC3dC+,0.8437787728225363
gC3dsFL,0.10524720101932775
gC3dsdC,0.151668215727738
gC3ec56,0.06628600840026717
gC3ec56*,0.06800253603351457
