S,Event Count,g1 fraction,g2 fraction of g1,g2 fraction of all events
aC2_FL_+_stained,40603.0,0.2301307785139029,0.998394691780822,0.22976134768366868
gC3_FL_+_EC6_a4_unstained,62410.0,0.5528120493510655,0.9990435059853338,0.5522832879346259
gC3_FL_+_EC6_a4_stained,56925.0,0.5559068950373298,0.9986095749723495,0.5551339481774265
aC2_dCyto_-_unstained,74435.0,0.6417679854906966,0.9991626543855977,0.6412306038825821
aC2_dCyto_-_stained,71612.0,0.643411718706362,0.9992186821772724,0.642909009663185
gC3_FL_+_stained,55729.0,0.6681440542625922,0.9991137370753324,0.6675519029589622
a4_FL_-_unstained,90172.0,0.6706849132768486,0.9989748168725301,0.6699973384199086
gC3_FL_+_unstained,55022.0,0.6754207407945912,0.9994887387993434,0.6750754243757042
a4_FL_-_stained,82986.0,0.6759814908538789,0.9991978180651372,0.6754392307136143
gC3_dCyto_+_EC6_a4_stained,62061.0,0.6768179694171863,0.9992619750499953,0.6763184608691448
gC3_dCyto_+_EC6_a4_unstained,56759.0,0.6878909071689071,0.9991804118430488,0.6873271199281171
a4_dCyto_+_unstained,80794.0,0.7062158081045622,0.9991938027971538,0.7056464588954625
a4_dCyto_+_stained,71193.0,0.7134690208306996,0.9993700043312203,0.7130195384377678
aC2_dCyto_+_unstained,90439.0,0.7176771083271597,0.9992758758820448,0.7171574210241157
aC2_dCyto_+_stained,94636.0,0.7251785789762881,0.9989362942239319,0.7244072023331501
gC3_FL_-_unstained,102247.0,0.7272585014719258,0.9990048413125336,0.7265347638561522
gC3_dCyto_+_unstained,82918.0,0.7303601148122241,0.9992239101717305,0.7297932897561447
gC3_dCyto_+_stained,84553.0,0.7374546142656085,0.9991500144337172,0.7368277884876941
gC3_FL_-_stained,85114.0,0.7375872359423832,0.9989964797145542,0.7368470521888291
a4_dCyto_+_EC56_gC3_stained,94112.0,0.7386199421965318,0.9991224663012674,0.7379717783066984
a4_dCyto_+_EC56_gC3_unstained,95834.0,0.7424400525909385,0.9990723953282455,0.7417513617296575
a4_dCyto_+_EC6_gC3_unstained,95302.0,0.7595958112106777,0.9990744705833599,0.7588927829426455
a4_dCyto_+_EC6_gC3_stained,97413.0,0.7691683861496925,0.9993860691072644,0.7686961699157197
untransfected_unstained,82252.0,0.8709332295871225,0.9995393377631359,0.8705320235374215
