E,S,FITC
20241114,a4_dCyto_+_EC56_gC3_stained,0.25197047416489426
20241114,a4_dCyto_+_EC6_gC3_stained,0.271750373520285
20241114,a4_dCyto_+_stained,0.07583555161194913
20241114,aC2_FL_+_stained,0.012195121951219513
20241114,aC2_dCyto_+_stained,0.05639602542297019
20241114,gC3_FL_+_stained,0.18684985279685967
20241114,gC3_dCyto_+_stained,0.36661866900394413
20241119,a4_dCyto_+_EC56_gC3_stained,0.40181347150259067
20241119,a4_dCyto_+_EC6_gC3_stained,0.2913374515155868
20241119,a4_dCyto_+_stained,0.1669875838257752
20241119,aC2_FL_+_stained,0.01791044776119403
20241119,aC2_dCyto_+_stained,0.09903047091412742
20241119,gC3_FL_+_stained,0.2937326956959476
20241119,gC3_dCyto_+_stained,0.4646178436501017
20241120,a4_dCyto_+_EC56_gC3_stained,0.37315759637188206
20241120,a4_dCyto_+_EC6_gC3_stained,0.3072539658093331
20241120,a4_dCyto_+_stained,0.09928330522765598
20241120,aC2_FL_+_stained,0.027563395810363836
20241120,aC2_dCyto_+_stained,0.10966057441253264
20241120,gC3_FL_+_stained,0.27294846272948464
20241120,gC3_dCyto_+_stained,0.3949688491830257
